cell_name,cell_type,cell_type_pooled
X1772067087_G06,IFE-B,IFE-B
X1772067087_H04,IFE-B,IFE-B
X1772067087_H05,IFE-B,IFE-B
X1772067087_H08,IFE-KI,IFE-K
X1772067087_H11,IFE-DI,IFE-D
X1772067090_A02,IFE-KII,IFE-K
X1772067090_A03,IFE-DII,IFE-D
X1772067090_A04,IFE-B,IFE-B
X1772067090_A06,IFE-B,IFE-B
X1772067090_A07,IFE-B,IFE-B
X1772067090_A08,IFE-B,IFE-B
X1772067090_A10,IFE-B,IFE-B
X1772067090_A11,IFE-B,IFE-B
X1772067090_B01,IFE-B,IFE-B
X1772067090_B02,IFE-B,IFE-B
X1772067090_B06,IFE-B,IFE-B
X1772067090_B11,IFE-DII,IFE-D
X1772067090_C01,IFE-DI,IFE-D
X1772067090_C02,IFE-DI,IFE-D
X1772067090_C03,IFE-B,IFE-B
X1772067090_C04,IFE-B,IFE-B
X1772067090_C05,IFE-B,IFE-B
X1772067090_C06,IFE-B,IFE-B
X1772067090_C10,IFE-B,IFE-B
X1772067090_C11,IFE-B,IFE-B
X1772067090_C12,IFE-DI,IFE-D
X1772067090_D04,IFE-B,IFE-B
X1772067090_D05,IFE-DI,IFE-D
X1772067090_D06,IFE-B,IFE-B
X1772067090_D08,IFE-B,IFE-B
X1772067090_D09,IFE-B,IFE-B
X1772067090_D11,IFE-B,IFE-B
X1772067090_E07,IFE-B,IFE-B
X1772067090_E09,IFE-DII,IFE-D
X1772067090_E10,IFE-B,IFE-B
X1772067090_E12,IFE-B,IFE-B
X1772067090_F04,IFE-DI,IFE-D
