cell_name,cell_type,cell_type_pooled
X1772071061_A03,IFE-B,IFE-B
X1772071061_A06,IFE-B,IFE-B
X1772071061_A08,IFE-KII,IFE-K
X1772071061_B02,IFE-B,IFE-B
X1772071061_B11,IFE-DI,IFE-D
X1772071061_E07,IFE-KI,IFE-K
X1772071061_E11,IFE-B,IFE-B
X1772071061_E12,IFE-DI,IFE-D
X1772071063_A11,IFE-DI,IFE-D
X1772071063_C01,IFE-DII,IFE-D
X1772071063_C02,IFE-DII,IFE-D
X1772071063_C03,IFE-DI,IFE-D
X1772071063_C09,IFE-B,IFE-B
X1772071063_C12,IFE-DI,IFE-D
X1772071063_E02,IFE-KI,IFE-K
X1772071063_E03,IFE-KII,IFE-K
X1772071063_E04,IFE-DI,IFE-D
X1772071063_E09,IFE-B,IFE-B
X1772071063_E10,IFE-DI,IFE-D
X1772071063_F10,IFE-DI,IFE-D
X1772071063_G06,IFE-B,IFE-B
X1772071063_G09,IFE-KI,IFE-K
X1772071063_G11,IFE-B,IFE-B
X1772071063_H11,IFE-B,IFE-B
X1772071066_A02,IFE-DI,IFE-D
X1772071066_A05,IFE-DII,IFE-D
X1772071066_B06,IFE-DI,IFE-D
X1772071066_B08,IFE-KI,IFE-K
X1772071066_D09,IFE-KI,IFE-K
X1772071066_E01,IFE-KII,IFE-K
X1772071066_F09,IFE-KII,IFE-K
X1772071066_G01,IFE-KI,IFE-K
X1772071066_G12,IFE-KI,IFE-K
X1772071068_A02,IFE-DI,IFE-D
X1772071068_A03,IFE-DII,IFE-D
X1772071068_A08,IFE-DI,IFE-D
X1772071068_A11,IFE-B,IFE-B
X1772071068_C03,IFE-DII,IFE-D
X1772071068_C08,IFE-DII,IFE-D
X1772071068_D01,IFE-KI,IFE-K
X1772071068_D05,IFE-KI,IFE-K
X1772071068_D08,IFE-KI,IFE-K
X1772071068_E03,IFE-DII,IFE-D
X1772071068_E11,IFE-KI,IFE-K
X1772071068_F01,IFE-DI,IFE-D
X1772071068_F07,IFE-DII,IFE-D
X1772071068_F09,IFE-DII,IFE-D
X1772071068_F10,IFE-DI,IFE-D
X1772071068_G10,IFE-DI,IFE-D
X1772071068_H01,IFE-KI,IFE-K
X1772072256_B07,IFE-DII,IFE-D
X1772072256_B10,IFE-DI,IFE-D
X1772072256_D01,IFE-KII,IFE-K
X1772072256_F12,IFE-DI,IFE-D
X1772072256_G11,IFE-DI,IFE-D
X1772072259_A12,IFE-B,IFE-B
X1772072259_B07,IFE-DII,IFE-D
X1772072259_C05,IFE-KI,IFE-K
